Pignatta.et.al.MEGs	Pignatta.et.al.PEGs	Hornslien.et.al.MEGs	Hornslien.et.al.PEGs	Picard.et.al.MEGs	Picard.et.al.PEGs	Del_Toro.et.al.MEGs	Del_Toro.et.al.PEGs
AT1G01420	AT1G08600	AT1G01530	AT1G11810	AT1G02530	AT1G17780	AT1G29680	AT1G53690
AT1G02000	AT1G11660	AT1G04540	AT1G17770	AT1G05260	AT1G31630	AT2G05914	AT2G25560
AT1G02530	AT1G17770	AT1G06470	AT1G23320	AT1G07090	AT1G31640	AT3G21490	AT4G26830
AT1G02570	AT1G17790	AT1G07705	AT1G34650	AT1G07720	AT1G47490	AT1G04280	AT3G58640
AT1G02660	AT1G20816	AT1G08030	AT1G48910	AT1G08810	AT1G49600	AT5G06930	AT5G40600
AT1G03150	AT1G20900	AT1G11420	AT1G49290	AT1G09540	AT1G56400	AT3G03770	AT5G54350
AT1G05120	AT1G20910	AT1G11580	AT1G55560	AT1G10640	AT1G57800	AT4G16380	AT5G28850
AT1G05320	AT1G22090	AT1G14230	AT1G60400	AT1G12090	AT1G60400	AT1G31550	AT4G08510
AT1G08220	AT1G22710	AT1G14580	AT1G65330	AT1G12180	AT1G65330	AT1G13360	AT1G19380
AT1G09290	AT1G26620	AT1G16290	AT1G65360	AT1G14520	AT2G07435	AT1G43886	AT2G38590
AT1G09540	AT1G28630	AT1G17860	AT1G66630	AT1G17200	AT2G21930	AT4G09890	AT4G10160
AT1G09850	AT1G28640	AT1G17950	AT1G67820	AT1G19940	AT2G40520	AT1G43030	AT4G22360
AT1G10550	AT1G30330	AT1G19140	AT2G20160	AT1G20010	AT2G42640	AT5G39995	AT5G50840
AT1G10560	AT1G31630	AT1G19640	AT2G25700	AT1G20680	AT3G11310	AT4G37520	AT5G28145
AT1G11850	AT1G31640	AT1G20140	AT2G32370	AT1G20730	AT3G13010	AT2G13115	AT5G44520
AT1G14520	AT1G35190	AT1G20690	AT2G36560	AT1G23205	AT4G05470	AT2G44940	AT2G47820
AT1G17860	AT1G47490	AT1G20730	AT2G47030	AT1G24020	AT4G05475	AT5G21105	AT3G49770
AT1G20230	AT1G48910	AT1G21790	AT3G01270	AT1G24540	AT4G24650	AT5G35935	AT2G32275
AT1G20380	AT1G49600	AT1G22040	AT3G05610	AT1G29660	AT4G31900	AT3G62650	AT3G47030
AT1G20490	AT1G50260	AT1G22180	AT3G19160	AT1G30530	AT5G22600	AT1G23040	AT5G39560
AT1G20680	AT1G56400	AT1G23360	AT3G28750	AT1G31935	AT5G62110	AT3G46770	AT1G35183
AT1G20795	AT1G57800	AT1G27000	AT3G49770	AT1G51500	AT1G03445	AT5G62210	AT3G11160
